Customer_ID,Name,Credit_Score_Anterior,Pred_RandomForest,Pred_XGBoost,Pred_LightGBM,Pred_DecisionTree,Pred_KNN,Pred_LogisticRegression,Pred_NaiveBayes
CUS_0x1038,B.h,Good,Standard,Standard,Standard,Standard,Good,Poor,Standard
CUS_0x1038,B.h,Good,Standard,Standard,Standard,Standard,Good,Poor,Standard
CUS_0x103e,TimKellyf,Standard,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x103e,TimKellyf,Standard,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x103e,TimKellyf,Standard,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1041,JonathanStempela,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1041,JonathanStempela,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1041,JonathanStempela,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1041,JonathanStempela,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1044,MakiShirakip,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1044,MakiShirakip,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1044,MakiShirakip,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1044,MakiShirakip,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1048,JanetMcGurtyg,Poor,Poor,Poor,Standard,Poor,Poor,Poor,Standard
CUS_0x1048,JanetMcGurtyg,Poor,Standard,Standard,Standard,Poor,Poor,Poor,Standard
CUS_0x1048,JanetMcGurtyg,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x104a,Leahk,Standard,Good,Good,Good,Good,Good,Good,Standard
CUS_0x104a,Leahk,Standard,Good,Good,Good,Good,Standard,Good,Standard
CUS_0x104a,Leahk,Standard,Good,Good,Good,Standard,Standard,Good,Standard
CUS_0x104a,Leahk,Standard,Good,Good,Good,Good,Standard,Good,Standard
CUS_0x104e,Kentaros,Standard,Standard,Standard,Standard,Standard,Standard,Good,Good
CUS_0x104e,Kentaros,Standard,Standard,Good,Good,Standard,Standard,Good,Good
CUS_0x104e,Kentaros,Standard,Standard,Good,Standard,Standard,Standard,Good,Good
CUS_0x104e,Kentaros,Standard,Standard,Good,Good,Standard,Standard,Good,Good
CUS_0x104f,Markm,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x104f,Markm,Standard,Standard,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x104f,Markm,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x104f,Markm,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1051,LuciaMutikanin,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x1051,LuciaMutikanin,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x1051,LuciaMutikanin,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x1051,LuciaMutikanin,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x1056,Hornbyb,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1056,Hornbyb,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1056,Hornbyb,Poor,Poor,Poor,Standard,Standard,Poor,Poor,Standard
CUS_0x1056,Hornbyb,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1057,DavidSheppardv,Good,Standard,Standard,Standard,Standard,Poor,Good,Good
CUS_0x1057,DavidSheppardv,Good,Standard,Standard,Standard,Standard,Standard,Good,Good
CUS_0x1057,DavidSheppardv,Good,Standard,Standard,Standard,Poor,Standard,Good,Good
CUS_0x1057,DavidSheppardv,Good,Standard,Standard,Standard,Standard,Standard,Good,Good
CUS_0x105b,PatriciaZengerlel,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x105b,PatriciaZengerlel,Good,Good,Good,Standard,Standard,Good,Good,Standard
CUS_0x105b,PatriciaZengerlel,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x105c,Lopezz,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x105c,Lopezz,Standard,Good,Good,Good,Good,Standard,Good,Good
CUS_0x105c,Lopezz,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x105c,Lopezz,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x1063,SylviaWestallq,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1063,SylviaWestallq,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1063,SylviaWestallq,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1063,SylviaWestallq,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1069,AndreasCremero,Standard,Good,Standard,Standard,Good,Standard,Good,Standard
CUS_0x1069,AndreasCremero,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1069,AndreasCremero,Standard,Standard,Standard,Standard,Poor,Standard,Standard,Standard
CUS_0x1069,AndreasCremero,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x106f,AlwynScottk,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x106f,AlwynScottk,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x106f,AlwynScottk,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x106f,AlwynScottk,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x1075,Dorfmanv,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1075,Dorfmanv,Poor,Good,Standard,Good,Good,Poor,Good,Standard
CUS_0x1075,Dorfmanv,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1075,Dorfmanv,Poor,Good,Good,Good,Good,Standard,Good,Standard
CUS_0x107c,Karenh,Standard,Poor,Poor,Standard,Poor,Poor,Poor,Standard
CUS_0x107c,Karenh,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x107c,Karenh,Standard,Poor,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x107e,Lianaj,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x107e,Lianaj,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x107e,Lianaj,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x107e,Lianaj,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1087,Alistairy,Standard,Good,Good,Good,Good,Standard,Poor,Standard
CUS_0x1087,Alistairy,Standard,Good,Standard,Good,Good,Poor,Poor,Standard
CUS_0x1087,Alistairy,Standard,Good,Good,Good,Good,Standard,Poor,Standard
CUS_0x1087,Alistairy,Standard,Good,Standard,Good,Good,Good,Poor,Standard
CUS_0x108a,Silvial,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x108a,Silvial,Standard,Standard,Standard,Standard,Good,Standard,Poor,Standard
CUS_0x108a,Silvial,Standard,Standard,Standard,Standard,Standard,Good,Poor,Standard
CUS_0x108a,Silvial,Standard,Standard,Standard,Standard,Standard,Good,Poor,Standard
CUS_0x1096,EdwardKrudyk,Poor,Standard,Standard,Standard,Standard,Standard,Standard,Good
CUS_0x1096,EdwardKrudyk,Poor,Standard,Standard,Standard,Standard,Poor,Good,Good
CUS_0x1096,EdwardKrudyk,Poor,Standard,Standard,Good,Standard,Standard,Standard,Good
CUS_0x1096,EdwardKrudyk,Poor,Standard,Standard,Standard,Standard,Poor,Standard,Good
CUS_0x1098,Krudyz,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x1098,Krudyz,Poor,Poor,Poor,Standard,Poor,Good,Poor,Standard
CUS_0x1098,Krudyz,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x1098,Krudyz,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x109b,Gillesy,Poor,Good,Good,Standard,Poor,Poor,Good,Good
CUS_0x109b,Gillesy,Poor,Good,Good,Good,Good,Standard,Good,Good
CUS_0x109b,Gillesy,Poor,Good,Good,Good,Standard,Standard,Good,Good
CUS_0x109b,Gillesy,Poor,Good,Good,Good,Good,Good,Good,Good
CUS_0x109d,Langep,Standard,Standard,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x109d,Langep,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x109d,Langep,Standard,Standard,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x109d,Langep,Standard,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x109f,Vellacottj,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x109f,Vellacottj,Standard,Good,Good,Good,Good,Poor,Good,Good
CUS_0x109f,Vellacottj,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10a9,iniKristenr,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10a9,iniKristenr,Good,Standard,Standard,Good,Standard,Standard,Good,Good
CUS_0x10a9,iniKristenr,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10a9,iniKristenr,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10aa,CareyGillama,Standard,Good,Good,Good,Good,Good,Good,Standard
CUS_0x10aa,CareyGillama,Standard,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x10aa,CareyGillama,Standard,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x10aa,CareyGillama,Standard,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x10ac,Zhouy,Good,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x10ac,Zhouy,Good,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x10ac,Zhouy,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x10b3,Johnsona,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x10b3,Johnsona,Good,Good,Good,Good,Good,Poor,Good,Standard
CUS_0x10b3,Johnsona,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x10b6,Gillesw,Standard,Standard,Standard,Standard,Standard,Standard,Good,Good
CUS_0x10b6,Gillesw,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10b6,Gillesw,Standard,Good,Standard,Standard,Good,Standard,Good,Good
CUS_0x10b6,Gillesw,Standard,Standard,Standard,Standard,Standard,Standard,Good,Good
CUS_0x10bb,Chyenf,Standard,Good,Good,Standard,Good,Good,Good,Standard
CUS_0x10bb,Chyenf,Standard,Good,Good,Standard,Standard,Good,Good,Standard
CUS_0x10bb,Chyenf,Standard,Good,Standard,Standard,Good,Standard,Good,Standard
CUS_0x10c0,Scheyderx,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x10c0,Scheyderx,Poor,Standard,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x10c0,Scheyderx,Poor,Standard,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x10c0,Scheyderx,Poor,Standard,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x10c5,Moony,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x10c5,Moony,Poor,Good,Standard,Good,Good,Good,Good,Standard
CUS_0x10c5,Moony,Poor,Good,Standard,Good,Good,Standard,Poor,Standard
CUS_0x10c5,Moony,Poor,Good,Standard,Good,Good,Good,Good,Standard
CUS_0x10d7,SineadCarewm,Poor,Standard,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x10d7,SineadCarewm,Poor,Standard,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10d7,SineadCarewm,Poor,Standard,Standard,Poor,Poor,Poor,Poor,Standard
CUS_0x10dd,PraveenMenonq,Standard,Good,Good,Standard,Good,Good,Poor,Standard
CUS_0x10dd,PraveenMenonq,Standard,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x10dd,PraveenMenonq,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x10dd,PraveenMenonq,Standard,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x10df,ParitoshBansalo,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10df,ParitoshBansalo,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10df,ParitoshBansalo,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10df,ParitoshBansalo,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e2,Sonalio,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e2,Sonalio,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e2,Sonalio,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e7,Carewj,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e7,Carewj,Standard,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x10e7,Carewj,Standard,Poor,Standard,Poor,Poor,Standard,Poor,Standard
CUS_0x10e7,Carewj,Standard,Poor,Standard,Poor,Poor,Standard,Poor,Standard
CUS_0x10eb,Yaob,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10eb,Yaob,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10eb,Yaob,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10eb,Yaob,Good,Good,Good,Good,Good,Good,Good,Good
CUS_0x10ee,Hudsonb,Poor,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x10ee,Hudsonb,Poor,Standard,Good,Good,Standard,Standard,Good,Standard
CUS_0x10ee,Hudsonb,Poor,Standard,Good,Good,Standard,Standard,Good,Standard
CUS_0x10ee,Hudsonb,Poor,Standard,Good,Standard,Standard,Poor,Good,Standard
CUS_0x10f9,GillesGuillaumev,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10f9,GillesGuillaumev,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10f9,GillesGuillaumev,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10f9,GillesGuillaumev,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x10fd,Hendersonu,Poor,Standard,Good,Standard,Poor,Poor,Good,Standard
CUS_0x10fd,Hendersonu,Poor,Good,Good,Standard,Poor,Poor,Good,Standard
CUS_0x10fd,Hendersonu,Poor,Good,Good,Standard,Poor,Standard,Good,Standard
CUS_0x10fd,Hendersonu,Poor,Good,Good,Standard,Poor,Standard,Good,Standard
CUS_0x10ff,Murait,Standard,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x10ff,Murait,Standard,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x10ff,Murait,Standard,Good,Good,Good,Good,Standard,Good,Standard
CUS_0x1100,Kaorif,Poor,Poor,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x1100,Kaorif,Poor,Poor,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x1100,Kaorif,Poor,Poor,Poor,Poor,Poor,Good,Poor,Standard
CUS_0x1100,Kaorif,Poor,Poor,Poor,Poor,Poor,Good,Poor,Standard
CUS_0x1107,Felsenthalv,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1107,Felsenthalv,Poor,Poor,Poor,Poor,Standard,Standard,Poor,Standard
CUS_0x1107,Felsenthalv,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1107,Felsenthalv,Poor,Poor,Standard,Poor,Poor,Poor,Poor,Standard
CUS_0x1108,enKlaymano,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1108,enKlaymano,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1108,enKlaymano,Poor,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x1108,enKlaymano,Poor,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1109,KarenFreifeldf,Poor,Standard,Standard,Standard,Poor,Poor,Poor,Standard
CUS_0x1109,KarenFreifeldf,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x1109,KarenFreifeldf,Poor,Standard,Standard,Standard,Poor,Poor,Poor,Standard
CUS_0x1119,Carlozoy,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1119,Carlozoy,Poor,Poor,Standard,Poor,Poor,Poor,Poor,Standard
CUS_0x1119,Carlozoy,Poor,Standard,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x1119,Carlozoy,Poor,Poor,Poor,Poor,Poor,Standard,Poor,Standard
CUS_0x111b,PoornimaGuptab,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x111b,PoornimaGuptab,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x111b,PoornimaGuptab,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x111b,PoornimaGuptab,Good,Good,Good,Good,Standard,Good,Good,Standard
CUS_0x111c,Deepaa,Poor,Poor,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x111c,Deepaa,Poor,Poor,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x111c,Deepaa,Poor,Poor,Standard,Standard,Standard,Poor,Poor,Standard
CUS_0x1123,Suzannep,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1123,Suzannep,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1123,Suzannep,Poor,Poor,Poor,Standard,Poor,Good,Poor,Standard
CUS_0x1123,Suzannep,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x112d,JamesDaveyt,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x112d,JamesDaveyt,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x112d,JamesDaveyt,Poor,Poor,Poor,Standard,Poor,Poor,Poor,Standard
CUS_0x112d,JamesDaveyt,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x112e,Sanog,Standard,Good,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x112e,Sanog,Standard,Standard,Good,Standard,Standard,Standard,Good,Standard
CUS_0x112e,Sanog,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x112e,Sanog,Standard,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x112f,Ju-minv,Poor,Good,Standard,Good,Good,Good,Good,Standard
CUS_0x112f,Ju-minv,Poor,Good,Standard,Standard,Good,Standard,Poor,Standard
CUS_0x112f,Ju-minv,Poor,Good,Standard,Good,Standard,Good,Good,Standard
CUS_0x1130,Elizabethr,Good,Good,Good,Good,Good,Standard,Good,Good
CUS_0x1130,Elizabethr,Good,Good,Good,Standard,Standard,Poor,Good,Good
CUS_0x1130,Elizabethr,Good,Good,Good,Standard,Standard,Standard,Good,Good
CUS_0x1130,Elizabethr,Good,Good,Good,Standard,Good,Standard,Good,Good
CUS_0x1132,Jonathano,Poor,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1132,Jonathano,Poor,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1132,Jonathano,Poor,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x1134,Stt,Good,Good,Good,Standard,Standard,Standard,Good,Good
CUS_0x1134,Stt,Good,Good,Good,Standard,Standard,Standard,Good,Good
CUS_0x1134,Stt,Good,Good,Good,Standard,Standard,Standard,Good,Good
CUS_0x1134,Stt,Good,Standard,Standard,Standard,Good,Good,Good,Good
CUS_0x1135,Baertleinc,Good,Good,Good,Good,Good,Good,Poor,Standard
CUS_0x1135,Baertleinc,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1135,Baertleinc,Good,Good,Standard,Good,Good,Good,Good,Standard
CUS_0x1136,Stevenk,Poor,Standard,Standard,Standard,Good,Poor,Poor,Standard
CUS_0x1136,Stevenk,Poor,Standard,Standard,Standard,Good,Poor,Poor,Standard
CUS_0x1138,Prodhanx,Poor,Good,Standard,Standard,Good,Good,Good,Good
CUS_0x1138,Prodhanx,Poor,Standard,Standard,Good,Good,Standard,Good,Good
CUS_0x1138,Prodhanx,Poor,Good,Standard,Standard,Good,Good,Good,Good
CUS_0x1138,Prodhanx,Poor,Good,Good,Good,Good,Good,Good,Good
CUS_0x1139,Copleyp,Standard,Standard,Standard,Standard,Standard,Standard,Good,Standard
CUS_0x1139,Copleyp,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1139,Copleyp,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1139,Copleyp,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x113e,RansdellPiersono,Poor,Poor,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x113e,RansdellPiersono,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x113e,RansdellPiersono,Poor,Poor,Poor,Poor,Standard,Poor,Good,Standard
CUS_0x1140,JenniferSabal,Standard,Standard,Standard,Poor,Standard,Standard,Poor,Standard
CUS_0x1140,JenniferSabal,Standard,Standard,Standard,Poor,Standard,Standard,Poor,Standard
CUS_0x1140,JenniferSabal,Standard,Standard,Standard,Poor,Standard,Standard,Poor,Standard
CUS_0x1140,JenniferSabal,Standard,Standard,Standard,Poor,Standard,Standard,Poor,Standard
CUS_0x1144,Douwet,Good,Standard,Standard,Standard,Standard,Standard,Standard,Good
CUS_0x1144,Douwet,Good,Standard,Standard,Standard,Good,Standard,Standard,Good
CUS_0x1144,Douwet,Good,Standard,Standard,Standard,Standard,Standard,Standard,Good
CUS_0x1144,Douwet,Good,Standard,Standard,Standard,Standard,Good,Good,Good
CUS_0x1145,Blenkinsopr,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1145,Blenkinsopr,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x1145,Blenkinsopr,Poor,Poor,Poor,Poor,Standard,Poor,Poor,Standard
CUS_0x1145,Blenkinsopr,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Standard
CUS_0x114a,Valetkevitchu,Standard,Good,Standard,Standard,Good,Standard,Good,Good
CUS_0x114a,Valetkevitchu,Standard,Good,Standard,Standard,Good,Standard,Good,Good
CUS_0x114a,Valetkevitchu,Standard,Good,Good,Good,Good,Poor,Good,Good
CUS_0x114a,Valetkevitchu,Standard,Good,Good,Good,Good,Good,Good,Good
CUS_0x114b,Hephero,Standard,Standard,Standard,Standard,Poor,Standard,Poor,Standard
CUS_0x114b,Hephero,Standard,Standard,Standard,Standard,Good,Standard,Poor,Standard
CUS_0x114b,Hephero,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x114b,Hephero,Standard,Standard,Standard,Standard,Standard,Standard,Poor,Standard
CUS_0x1151,Hopkinsv,Standard,Poor,Standard,Poor,Good,Standard,Standard,Standard
CUS_0x1151,Hopkinsv,Standard,Poor,Standard,Standard,Standard,Standard,Standard,Standard
CUS_0x1151,Hopkinsv,Standard,Poor,Standard,Standard,Standard,Poor,Standard,Standard
CUS_0x1152,Gellerv,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1152,Gellerv,Good,Good,Good,Good,Good,Good,Good,Standard
CUS_0x1152,Gellerv,Good,Good,Good,Good,Good,Good,Good,Standard
